%% SSP4-3.4 CO2, Meinshausen et al. 2020 (GMD, doi:10.5194/gmd-13-3571-2020), World annual-mean mole fraction (ppm), 2015-2100 %%
Year	CO2(ppm)
2015	399.95
2016	403.12
2017	405.74
2018	408.56
2019	411.34
2020	414.10
2021	416.84
2022	419.54
2023	422.18
2024	424.76
2025	427.29
2026	429.77
2027	432.20
2028	434.58
2029	436.93
2030	439.23
2031	441.48
2032	443.69
2033	445.83
2034	447.90
2035	449.92
2036	451.87
2037	453.77
2038	455.60
2039	457.38
2040	459.11
2041	460.78
2042	462.39
2043	463.93
2044	465.40
2045	466.81
2046	468.16
2047	469.44
2048	470.66
2049	471.82
2050	472.92
2051	473.95
2052	474.95
2053	475.92
2054	476.86
2055	477.78
2056	478.68
2057	479.54
2058	480.38
2059	481.19
2060	481.97
2061	482.72
2062	483.45
2063	484.15
2064	484.82
2065	485.47
2066	486.10
2067	486.70
2068	487.27
2069	487.82
2070	488.33
2071	488.82
2072	489.27
2073	489.65
2074	489.96
2075	490.22
2076	490.41
2077	490.55
2078	490.62
2079	490.64
2080	490.59
2081	490.49
2082	490.31
2083	490.05
2084	489.69
2085	489.26
2086	488.73
2087	488.13
2088	487.44
2089	486.67
2090	485.82
2091	484.89
2092	483.89
2093	482.82
2094	481.68
2095	480.46
2096	479.18
2097	477.84
2098	476.42
2099	474.93
2100	473.38
