%% SSP5-3.4-OS CO2, Meinshausen et al. 2020 (GMD, doi:10.5194/gmd-13-3571-2020), World annual-mean mole fraction (ppm), 2015-2100 %%
Year	CO2(ppm)
2015	399.95
2016	403.12
2017	405.80
2018	408.78
2019	411.84
2020	414.98
2021	418.20
2022	421.53
2023	424.97
2024	428.52
2025	432.18
2026	435.95
2027	439.83
2028	443.82
2029	447.92
2030	452.13
2031	456.45
2032	460.89
2033	465.47
2034	470.18
2035	475.02
2036	479.99
2037	485.10
2038	490.34
2039	495.72
2040	501.23
2041	506.88
2042	512.47
2043	517.82
2044	522.94
2045	527.84
2046	532.53
2047	537.02
2048	541.32
2049	545.41
2050	549.32
2051	553.03
2052	556.47
2053	559.52
2054	562.22
2055	564.55
2056	566.53
2057	568.16
2058	569.44
2059	570.38
2060	570.99
2061	571.25
2062	571.26
2063	571.07
2064	570.68
2065	570.09
2066	569.30
2067	568.31
2068	567.12
2069	565.72
2070	564.13
2071	562.34
2072	560.43
2073	558.48
2074	556.49
2075	554.46
2076	552.38
2077	550.25
2078	548.06
2079	545.82
2080	543.53
2081	541.18
2082	538.80
2083	536.44
2084	534.08
2085	531.72
2086	529.36
2087	527.00
2088	524.64
2089	522.28
2090	519.91
2091	517.53
2092	515.16
2093	512.80
2094	510.46
2095	508.14
2096	505.82
2097	503.51
2098	501.21
2099	498.93
2100	496.64
